,Unnamed: 0,artist,title,label,lyrics
10,10,Deitrick Haddon,Love Him Like I Do ,happy,"(feat. Ruben Studdard & Mary Mary)
Love him like I do [x8]
[Ruben Studdard:]
I had to tell you first

The Pastor of the church

My folks and friends

Listen to these words

See GOD save me (yeah)

From myself when no one else was around

And it was only by his grace

His mercy is favor

Cause I know I don't deserve

All the love he shows (oh)

And how he let me know (oh)

He never brought me side



[Chorus:]

That's why I love him like I do

I Love him like I do

I Love him like I do

That's why I love him like I do

I, I [x2]



[Deitrick Haddon:]

See I got a testimony how to save my soul

For hours just sinner left in the floor

Give me a second chance

Save me from myself

Came to my rescue

When I needed help

You want to know why, I love him the way I do

That's when the enemy said I was thru

He took me from the bottom

And put me on the top

He lend his hands on me

And now I can't stop



[Chorus:]

That's why I love him like I do

I Love him like I do (my my my)

I Love him like I do (I do, I do, do do do)

That's why I love him like I do (I love him like I do I love him like I do)

I, I [x2]



[Mary Mary:]

Somebody told me we overcome by our testimony

Bet you wouldn't believe how bad fear use to paralyze me

God's hand let me thru the test

And he brought out the very best of me

And now I never forget

Gonna tell the world what you mean to me (ye... ah... yeah



[Chorus:]

That's why I love him like I do

I Love him like I do

I Love him like I do

That's why I love him like I do

I, I [x2]



[Mary Mary:]

Let me tell you why I love [x2]

Because he been so good me

He takes care of me

He keeps love me yeah

I love him

I love him



I Love him like I do

I Love him like I do

I Love him like I do

I Love him like I do



(Thanks to Nichelle for these lyrics)"
11,11,The Jackson 5,ABC,relaxed,"Michael: A buh-buh buh buh-buh 
J5: A buh-buh buh buh-buh 
Michael: You went to school to learn, girl 
Things you never, never knew before... 
Jermaine: Like I before E except after C... 
Michael: And why 2 plus 2 makes four 

Now now now, I'm gonna teach you... 

J5: Teach you, teach you 

Michael: All about love, dear... 

J5: All about love 

Jermaine: Sit yourself down, take a seat 

All you gotta do is repeat after me. 



CHORUS: 

J5: ABC 

Michael: Easy as... 

J5: 123 

Michael: Or simple as... 

J5: Do re mi 

Michael: ABC, 123, baby, you and me girl

J5: ABC 

Michael: Easy as... 

J5: 123 

Michael: As simple as... 

J5: Do re mi 

Michael: ABC, 123, baby, you and me girl



J5: ABC 

Michael: Easy as... 

J5: 123 

Michael: Or simple as... 

J5: Do re mi 

Michael: ABC, 123, baby, you and me girl

J5: ABC 

Michael: Easy as... 

J5: 123 

Michael: As simple as... 

J5: Do re mi 

Michael: ABC, 123, baby, you and me



Tito: Come on, let me love you just a little bit

Jackie: Come on, let me love you just a little bit

Jermaine: I'm a going to teach how to sing it out

Michael: Come on, come one, come on 

Let me show you what it's all about! 

Reading, writing and arithmetic 

Are the branches of the learning tree 

Jermaine: But without the roots of love every day, girl 

Michael: Your education ain't complete 

T-T-T-Teacher's gonna show you 

J5: Show you, show you 

Michael: How to get an A

J5 How to get an A

Jermaine: Spell ""me"" ""you"" 

Jermaine: Listen to me baby, that's all you gotta do

REPEAT CHORUS twice 

BRIDGE:

ABC is easy like counting up 3

That's how easy love can be

that's how easy love can be

sing a simple melody

123, you and me 

Michael: Sit down, girl! 

I think I love you! 

No! 

Get up, girl! 

Show me what you can do! 

Shake it, shake it, baby, come on now!

Shake it, shake it, baby, ooo oooh! 

Shake it shake it, baby, huh!

ABC, baby, nah nah!

123,

Do re mi, baby, huh!

That's how easy love can be. 

123, BABY,

ABC, BABY,

DO RE MI, BABY

THAT'S HOW EASY LOVE CAN BE

IT'S EASY, IT'S EASY LIKE COUNTING UP TO 3

SING A SIMPLE MELODY

THAT'S HOW EASY LOVE CAN BE

Jermaine:I'M A GONNA TEACH YOU HOW TO SING IT LOUD

Michael:COME ON, COME ON, COME ON,

LEMME SHOW YOU WHAT IT'S ALL ABOUT

ABC, IT'S EASY , IT'S LIKE COUNTING UP TO 3

SING A SIMPLE MELODY

THAT'S HOW EASY LOVE CAN BE

Jermaine:I'M A GONNA TEACH YOU HOW TO SING IT LOUD

SING IT LOUD, SING IT, GO, SING IT, GO SING IT

Michael:ABC, IT'S EASY AS 123.. (FADES"
12,12,Maysa,The Lady In My Life,happy,"5 ContributorsThe Lady In My Life LyricsThere will be no darkness tonight
Baby our love will shine
Just put your trust in my heart
And meet me in paradise
Boy you're every wonder in this world to me
A treasure time will steal away

So listen to my heart
Lay your body close to mine
Let me feel you in my dreams
I can make you feel alright
And baby through the years
Gonna love you more each day
So I promise you tonight
I will always be the lady in your life

Lay back on my tenderness
Let's make this a night we won't forget
Oh I need your sweet caress
Reach out to our fantasy
Two hearts in the beat of ecstasy
Come to me boy

And I will keep you warm
Through the shadows of the night
Let me touch you with my love
I will make you feel so right
And baby through the years
Even when we're old and gray
I will love you more each day
'Cause I will always be the lady
Always be the lady in your life
You might also likeAlways the lady in your life

Stay with me
Always the lady in your life
I want you to stay with me
Always the lady in your life
I need you by my side
Always the lady in your life
Oh yeah baby

Always the lady in your life
'Cause I love you, yes I do
Always the lady in your life
And I need you baby
Always the lady in your life
More than you'll ever know
Always the lady in your life
I love you baby

Always the lady in your life
And I've gotta let it show
Always the lady in your life
And I... I love you baby
Always the lady in your life
I need you baby
Always the lady in your life
Don't you see I love you boy
Don't you see I love you baby

Always the lady in your life
Always the lady in your life
Always the lady in your lifeEmbed
There will be no darkness tonight
Baby our love will shine
Just put your trust in my heart
And meet me in paradise
Boy you're every wonder in this world to me
A treasure time will steal away

So listen to my heart
Lay your body close to mine
Let me feel you in my dreams
I can make you feel alright
And baby through the years
Gonna love you more each day
So I promise you tonight
I will always be the lady in your life

Lay back on my tenderness
Let's make this a night we won't forget
Oh I need your sweet caress
Reach out to our fantasy
Two hearts in the beat of ecstasy
Come to me boy

And I will keep you warm
Through the shadows of the night
Let me touch you with my love
I will make you feel so right
And baby through the years
Even when we're old and gray
I will love you more each day
'Cause I will always be the lady
Always be the lady in your life

Always the lady in your life

Stay with me
Always the lady in your life
I want you to stay with me
Always the lady in your life
I need you by my side
Always the lady in your life
Oh yeah baby

Always the lady in your life
'Cause I love you, yes I do
Always the lady in your life
And I need you baby
Always the lady in your life
More than you'll ever know
Always the lady in your life
I love you baby

Always the lady in your life
And I've gotta let it show
Always the lady in your life
And I... I love you baby
Always the lady in your life
I need you baby
Always the lady in your life

Don't you see I love you boy
Don't you see I love you baby

Always the lady in your life
Always the lady in your life
Always the lady in your life"
13,13,Ryan Shaw,We Got Love,happy,"Baby when I'm wrapped up in your arms it never rains
And I'm praying for more, more and more each and every day, ah baby
We're flying high and no one can deny
They can tell by the look in your eyes

[Chorus]

We got love, you got me

If I got you baby, we got more than money, yeah

You are everything a man's been dreaming of

Oh we got love, baby we got love, oh yeah



And you know I love to see you smile, oh

And what you done for me, what you done for me makes it all worthwhile, ah baby

Cause you, you are my desire

And with the slightest touch, with the slightest touch my soul's on fire



[Chorus]



Storms are gonna rise, winds are gonna blow

But it ain't no need to worry as long as we know, as long as we know



[Chorus]



Cause I been near, I been around

But we won't let nothing, nothing shake the love we found

We got love, baby we got love.



Oh yeah love, baby we got love

I know we got a got a got a got love

So we need a need a little bit of love

Baby we got a we got a love

Oh, love, oh love"
14,14,The Paris Sisters,I Love How You Love Me,happy,"I love how your eyes close whenever you kiss me
And when I'm away from you I love how you miss me
I love the way you always treat me tenderly
But, darling, most of all I love how you love me
(Love how you love me)


I love how your heart beats whenever I hold you

I love how you think of me without being told to

I love the way your touch is always heavenly

But, darling, most of all I love how you love me 

(Love how you love me)



I love how your eyes close whenever you kiss me

And when I'm away from you I love how you miss me

I love the way your touch is always heavenly

But, darling, most of all I love how you love me 

(Love how you love me)



I love how you hug me (love how you hug me)

I love how you squeeze me, tease me, please me

Love, how you love me

I love how you love me"
15,15,New Direction,I Came To Jesus,sad,"[Verse 1:] 
I was messed up, dirty as I could be, 
I was on my way to hell; 
but I heard the preacher, 
preaching the Word of God, 
confess your sins and repent. 



[Chorus:]

I came to Jesus as I was, 

weary, worn, and sad. 

I found in Him a resting place 

and He has made, made me glad.



[Verse 2:]

I asked the Lord, 

?how could He love me, 

I have sinned against Your will?. 

But He said, ?repent and I will forgive you, 

the question's who will you serve?? 



[Verse 3:]

You might be dirty, messed up inside, 

You may even have lost your will to live; 

don't be discouraged, don't throw in the towel, 

confess your sins and repent so you can be like me. 



[Vamp 1:]

Weary 



[Vamp 2:]

Jesus"
16,16,Kurt Carr & The Kurt Carr Singers,God Great God,happy,"ERROR
AttributeError(""'NoneType' object has no attribute 'lyrics'"")"
17,17,Kenny Lattimore,And I Love Her,happy,"I give her all my love 
That's all I do 
And if you saw my love 


You'd love her too 



I love her 







She gives me everything 



And tenderly 



The kiss my lover brings 



She brings to me 



And I love her 







A love like ours 



Could never die 



As long as I 



Have you near me 







Bright are the stars that shine 



Dark is the sky 



I know this love of mine 



Will never die 



And I love her 







Bright are the stars that shine 



Dark is the sky 



I know this love of mine 



Will never die 



And I love her, ooh"
18,18,Jordin Sparks,Battlefield,angry,"Don't try to explain your mind
I know what's happening here
One minute it's love and suddenly
It's like a battle-field
One word turns into a
Why is it the smallest things that tear us down

My world's nothing when you don't

I'm not here without a shield

Can't go back now



Both hands tied behind my back with nothing

Oh no

These times when we climb so fast to fall again

Why we gotta fall for it now



I never meant to start a war

You know I never wanna hurt you

Don't even know what we're fighting for



Why does love always feel like ...

a battlefield (battlefield)

a battlefield (battlefield)

a battlefield (battlefield)

[repeat]

Why does love always feel like



Can't swallow our pride,

Neither of us wanna raise that flag

If we can't surrender

then we both gonna lose what we had, oh no

Both hands tied behind my back with nothing

(nothing)

Oh no, these times when we climb so fast to fall again



I don't wanna fall for it now

I never meant to start a war

You know I never wanna hurt you

Don't even know what we're fighting for



Why does love always feel like ...

a battlefield (battlefield)

battlefield (battlefield)

battlefield (battlefield)

[repeat]

Why does love always feel like



You better go and get your armor

(get your armor)

Get your armor (get your armor)

I guess you better go and get your armor

(get your armor)

Get your armor (get your armor)

I guess you better go and get your



We could pretend that we are friends tonight

And in the morning we'll wake up and we'll be alright

Cause baby we don't have to fight

And I don't want this love to feel like



A battlefield (oh) a battlefield (oh) a battlefield,

Why does love always feel like a battlefield (oh)

a battlefield (oh) a battlefield



I guess you better go and get your armor

I never meant to start a war (start a war)

You know I never wanna hurt you

Don't even know what we're fighting for

(fighting, fighting for)



Why does love always feel like ...

a battlefield (battlefield)

a battlefield (battlefield)

a battlefield (battlefield)

[repeat]

Why does love always feel like



You better go and get your armor

(get your armor)

Get your armor (get your armor)

I guess you better go and get your armor

(get your armor)

Get your armor (get your armor)

I guess you better go and get your



Why does love always feel like

(whooaa ooow)

Why does love always feel like

(whooaa ooow)

A battlefield, a battlefield..



I never meant to start a war

Don't even know what we're fighting for

I never meant to start a war

Don't even know what we're fighting for

[fade out]"
19,19,Spoon,You Got Yr. Cherry Bomb,angry,"Life can be so fair
Let it go on and on
I can push for good
You got that cherry bomb
Blow out that cherry bomb for me
We lost it long ago

You and me



Now you know your way back from the spirit far

Brush your teeth for bed

Blow out that cherry bomb

Blow out that cherry bomb for me

You got to know it's on your sleeve

Know it's on your sleeve

Know it's on your sleeve (c'mon)



It was the longest day that I had ever known

I watched you start that drive alone

Blow out that cherry bomb for me

It's gonna burn right up your sleeve

Burn right up your sleeve



So there you go again

Out in your dressing gown

Get yourself to bed

Blow out that cherry bomb



Oh, life can be so fair

Let it go on and on

I could pay to have all your cherry bomb

Oh, life can be so fair

Let it go on and on

I could pay to have all your cherry bomb



(Thanks to Jose for these lyrics)"
20,20,Tarralyn Ramsey,Peace Of God,relaxed,"1 ContributorPeace Of God LyricsOh peace of God
Reign on me
My spirit's calling
To be free
My heart is heavy
I'm weighted down
For I know that your
Presence will always be around

Repeat 3 times

Ooh mmmmmm

For the peace of god
Surpasses all understanding
For the peace of God
Supasses all understanding

Repeat 4 timesYou might also likeEmbed
Oh peace of God
Reign on me
My spirit's calling
To be free
My heart is heavy
I'm weighted down
For I know that your
Presence will always be around

Repeat 3 times

Ooh mmmmmm

For the peace of god
Surpasses all understanding
For the peace of God
Supasses all understanding

Repeat 4 times"
